month,year,min,max
Jan,1990,25.83,47.16
Feb,1990,25.23,48.15
Mar,1990,33.37,56.12
Apr,1990,40.01,64.99
May,1990,46.83,70.9
Jun,1990,57.22,83.25
Jul,1990,60.76,85.75
Aug,1990,59.63,84.9
Sept,1990,54.34,80.37
Oct,1990,40.71,67.23
Nov,1990,32.97,56.89
Dec,1990,19.8,41.86
Jan,2014,20.26,40.44
Feb,2014,23.83,43.77
Mar,2014,35.53,59.25
Apr,2014,39.97,65.37
May,2014,49.44,74.37
Jun,2014,55.76,80.38
Jul,2014,60.53,85.26
Aug,2014,57.78,82.53
Sept,2014,53.04,78.28
Oct,2014,44.37,66.36
Nov,2014,34.16,53.83
Dec,2014,24.62,45.52